Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
1554696_s_at,0.4952859845271473,2.752986985434669e-10,1.5070739887466283e-08,1554696_s_at,TYMS,thymidylate synthetase
239551_at,1.549588828851809,2.7610060723674664e-10,1.5099494030435264e-08,239551_at,,
228464_at,1.2068369315916287,2.7909683552575125e-10,1.52480742604204e-08,228464_at,,
212680_x_at,1.6061942365842814,2.8296880405418246e-10,1.5434567240701207e-08,212680_x_at,PPP1R14B,protein phosphatase 1 regulatory inhibitor subunit 14B
238107_at,0.4068301252262443,2.8307594144161505e-10,1.5434567240701207e-08,238107_at,,
223680_at,0.5175086084604086,2.9645965522932113e-10,1.6148175172416286e-08,223680_at,ZNF607,zinc finger protein 607
202338_at,2.3714270283919685,2.9764895795778937e-10,1.6196792100077954e-08,202338_at,TK1,thymidine kinase 1
242742_at,0.6440317507460405,3.0047354949060056e-10,1.6334209021561243e-08,242742_at,,
208114_s_at,0.8419310593863134,3.023273717899853e-10,1.6418632462612548e-08,208114_s_at,ISG20L2,interferon stimulated exonuclease gene 20 like 2
240176_at,2.2652444200526047,3.0654005211129303e-10,1.6630864318272628e-08,240176_at,,
227192_at,1.0771269347997734,3.179324738515146e-10,1.7231813793785318e-08,227192_at,PRRT2,proline rich transmembrane protein 2
203429_s_at,1.5406640776051992,3.215972664192246e-10,1.7413151987990936e-08,203429_s_at,SUCO,SUN domain containing ossification factor
1557458_s_at,2.3219995601990933,3.2239341287268184e-10,1.7438959446162642e-08,1557458_s_at,SHB,SH2 domain containing adaptor protein B
238012_at,1.5505966452607476,3.232921787794456e-10,1.7470261213468675e-08,238012_at,DPP7,dipeptidyl peptidase 7
218788_s_at,1.4869939404768102,3.239878589356548e-10,1.749053744099812e-08,218788_s_at,SMYD3,SET and MYND domain containing 3
242918_at,2.403519482777156,3.2573279401758696e-10,1.7556787731855933e-08,242918_at,NASP,nuclear autoantigenic sperm protein
238797_at,1.043667699283371,3.2585840657340845e-10,1.7556787731855933e-08,238797_at,TRIM11,tripartite motif containing 11
228407_at,1.1397768331040687,3.2735078186302976e-10,1.7619801107793196e-08,228407_at,SCUBE3,"signal peptide, CUB domain and EGF like domain containing 3"
207625_s_at,1.0497836769496611,3.2942740821335617e-10,1.7714106909238193e-08,207625_s_at,CBFA2T2,CBFA2/RUNX1 translocation partner 2
203298_s_at,1.520915496755089,3.3687971410280165e-10,1.8079211323517025e-08,203298_s_at,JARID2,jumonji and AT-rich interaction domain containing 2
1556383_at,0.6498811584683284,3.3682528488448366e-10,1.8079211323517025e-08,1556383_at,,
222537_s_at,2.278191438856333,3.397865828029406e-10,1.8199422868303922e-08,222537_s_at,CDC42SE1,CDC42 small effector 1
222526_at,0.7418596294123283,3.396950264825037e-10,1.8199422868303922e-08,222526_at,GATAD2A,GATA zinc finger domain containing 2A
231835_at,2.002578755295249,3.423176676786197e-10,1.8317015670815084e-08,231835_at,FAM213B,family with sequence similarity 213 member B
244611_at,0.3587240987070133,3.463720325263176e-10,1.8515807211805965e-08,244611_at,MED13,mediator complex subunit 13
242975_s_at,0.4509309551668554,3.4816324143671116e-10,1.8593347900561897e-08,242975_s_at,,
1556683_x_at,0.5026404830950235,3.4930420019191026e-10,1.8622769865522343e-08,1556683_x_at,,
1557394_at,0.7767925570967171,3.49396587374171e-10,1.8622769865522343e-08,1557394_at,DLGAP4,DLG associated protein 4
233302_at,1.0541066113563335,3.5044136589681517e-10,1.866023347247052e-08,233302_at,,
239721_at,1.4823686326046386,3.5095765158075866e-10,1.86695103953472e-08,239721_at,,
213512_at,1.1492629147992073,3.520634821596288e-10,1.8710100090350912e-08,213512_at,C14orf79,chromosome 14 open reading frame 79
231941_s_at,0.7359429499722858,3.57566840677994e-10,1.8984086184206456e-08,231941_s_at,MUC20,"mucin 20, cell surface associated"
